Station Name,RoadSurfaceTemperature,AirTemperature
HarborAveUpperNorthBridge,75.19,68.62
HarborAveUpperNorthBridge,75.3,68.67
HarborAveUpperNorthBridge,75.39,68.64
HarborAveUpperNorthBridge,75.47,68.7
HarborAveUpperNorthBridge,75.54,68.95
HarborAveUpperNorthBridge,75.6,68.98
HarborAveUpperNorthBridge,75.65,68.89
HarborAveUpperNorthBridge,75.7,69.04
HarborAveUpperNorthBridge,75.76,69.14
HarborAveUpperNorthBridge,75.81,69.18
HarborAveUpperNorthBridge,75.86,69.25
HarborAveUpperNorthBridge,75.91,69.36
HarborAveUpperNorthBridge,75.95,69.45
HarborAveUpperNorthBridge,75.99,69.55
HarborAveUpperNorthBridge,76.01,69.69
AlbroPlaceAirportWay,84.4,80.1
AlbroPlaceAirportWay,84.5,79.95
AlbroPlaceAirportWay,84.5,79.69
AlbroPlaceAirportWay,84.5,79.54
AlbroPlaceAirportWay,84.5,79.45
AlbroPlaceAirportWay,84.6,79.6
AlbroPlaceAirportWay,84.6,79.98
AlbroPlaceAirportWay,84.6,80.3
AlbroPlaceAirportWay,84.7,80.4
AlbroPlaceAirportWay,84.7,80.5
AlbroPlaceAirportWay,84.7,80.1
AlbroPlaceAirportWay,84.7,79.93
AlbroPlaceAirportWay,84.8,80.1
AlbroPlaceAirportWay,84.8,80.4
AlbroPlaceAirportWay,84.8,80.9
AlbroPlaceAirportWay,91.3,84.8
AlbroPlaceAirportWay,91.3,84.8
AlbroPlaceAirportWay,91.3,84.6
AlbroPlaceAirportWay,91.3,84.5
AlbroPlaceAirportWay,91.3,84.5
AlbroPlaceAirportWay,91.3,84.6
AlbroPlaceAirportWay,91.3,84.6
